Producto;CodBarraPrinc;Precio;Neto;PrecioPublico
 TREGINAX 100 MG CPR DISPER X 30;7795349501525;50312,47;0;50312,47
+50 CPR X 30;7790839000267;8602,44;1;14366,0748
102 AÃ‘OS PLUS CPR X 30;7791984000485;12592,61;1;21029,6587
102 AÃ‘OS PLUS CPR X 60;7791984000492;21179,78;1;35370,2326
102 AÃ‘OS PLUS CPR X 90;7791984002021;30083,56;1;50239,5452
102 AÃ‘OS PLUS SOB X 15;7791984000515;10150,51;1;16951,3517
102 FOCUS CPR REC X 30;7791984001727;16182,3;1;27024,441
102 HOMBRE +50 CPR REC X 30;7791984001970;14928,59;1;24930,7453
102 MAGNESIO CITRATO CPR REC X 30;7791984001758;11507,67;1;19217,8089
102 MAGNESIO CPR REC X 30;7791984001512;10987,25;1;18348,7075
102 MAGNESIO GUMMIES FCO X 90;7791984001529;13660,54;1;22813,1018
102 MUJER +50 CPR REC X 30;7791984001987;14928,59;1;24930,7453
102 MUJER CAP BLANDAS X 30;7791984001154;14633,5;1;24437,945
102 SPORT BCAA SOB X 30;7791984001192;26465,74;1;44197,7858
102 SPORT MAX SOB X 30;7791984000539;31271,48;1;52223,3716
102 VIT C CPR REC X 30;7791984001710;11858,79;1;19804,1793
102 VIT C SOB X 30;7791984001635;13568,54;1;22659,4618
3TC SOL ORAL X 240 ML;7798365530999;117730,81;0;117730,81
4X4 50 MG CPR X 4;7790839980248;7210;0;7210
5 ASA 1000 MG SOB X 30;7795327064622;221678,22;0;221678,22
5 ASA 1000 MG SUPOS X 30;7795327065919;257600,27;0;257600,27
5 ASA 2000 MG SOB X 30;7795327064639;397497,97;0;397497,97
5 ASA 400 MG CPR X 30;7795327061164;112468,69;0;112468,69
5 ASA 400 MG CPR X 60;7795327061171;213849,36;0;213849,36
5 ASA 400 MG SUPOS X 10;7795327061188;44251,83;0;44251,83
5 ASA 400 MG SUPOS X 30;7795327061195;126674,14;0;126674,14
5 ASA 4000 MG SOB X 30;7795327065742;662325,74;0;662325,74
5 ASA 500 MG CPR X 30;7795327063625;116009,05;0;116009,05
5 ASA 500 MG CPR X 60;7795327063632;208822,41;0;208822,41
5 ASA 800 MG CPR X 30;7795327063670;168147,15;0;168147,15
5 ASA 800 MG CPR X 60;7795327063687;290787,6;0;290787,6
5 FU UNG X 20 GR;7795373003538;67170;0;67170
5 XR 1000 MG CPR X 30;7795349500924;190895,76;0;190895,76
5 XR 1000 MG CPR X 60;7795349500931;377833,64;0;377833,64
5 XR 500 MG CPR X 100;7795349000189;316500,95;0;316500,95
5 XR 500 MG CPR X 50;7795349000172;164661,02;0;164661,02
8 HORAS 2 MG CPR X 30;7796285053147;27126;0;27126
8 HORAS 3 MG CPR X 30;7796285053154;33905,88;0;33905,88
ABARAX 100 MG CPR X 100;7796285272616;119322,41;0;119322,41
ABARAX 50 MG CPR X 100;7796285272623;74379,66;0;74379,66
ABAXON 10 MG CPR X 10;7795345123370;53359;0;53359
ABAXON 10 MG CPR X 30;7795345123387;136915;0;136915
ABAXON 15 MG CPR X 30;7795345123394;130260;0;130260
ABAXON 2,5 MG CPR X 30;7795345123363;70463;0;70463
ABAXON 20 MG CPR X 30;7795345123400;140982;0;140982
ABRALUX CR X 60 GR;7798095330043;22473,86;1;37531,3462
ABRYSVO FCO AMP X 1;5415062115848;412157,03;0;412157,03
ACALIX 120 CPR X 50;7795345006130;34617;0;34617
ACALIX 25 INY X 1;7795345003412;21107;0;21107
ACALIX 60 CPR X 50;7795345002811;14069;0;14069
ACALIX AP 120 CAP X 30;7795345001968;32950;0;32950
ACALIX CRONOS 180 MG CAP X 30;7795345013541;34447;0;34447
ACALIX CRONOS 240 MG CAP X 30;7795345013558;49833;0;49833
ACALIX CRONOS 300 MG CAP X 30;7795345013565;55865;0;55865
ACANTEX MUS 1000 MG AMP X 1;7798129414510;27597,14;0;27597,14
ACANTEX MUS 500 MG AMP X 1;7798129414503;14292,01;0;14292,01
ACANTEX VEN 1000 MG AMP X 1;7798129414527;19531,22;0;19531,22
ACANTEX VEN 2000 MG FR AMP X 1;7795380001299;38430,19;0;38430,19
ACC P/DOBLE CONTR COLON E Z EM;7795337911237;292453,11;1;488396,6937
ACCU-CHEK ACTIVE GLUC TIRAS X 50;4015630064076;79162,75;1;132201,7925
ACCU-CHEK FASTCLIX KIT X 1;4015630065585;27807,41;1;46438,3747
ACCU-CHEK GUIDE GLUC TIRAS ENV X 25;4015630066834;44007,84;1;73493,0928
ACCU-CHEK GUIDE GLUC TIRAS ENV X 50;4015630066841;79162,75;1;132201,7925
ACCU-CHEK GUIDE KIT MEDIDOR X 1;4015630083282;46580,3;1;77789,101
ACCU-CHEK PERFORMA CONTROL SOL FCO X 2;4015630007257;13992,89;1;23368,1263
ACCU-CHEK PERFORMA GLUC TIRAS ENV X 25;4015630981960;44007,84;1;73493,0928
ACCU-CHEK PERFORMA GLUC TIRAS ENV X 50;4015630981977;79162,75;1;132201,7925
ACCU-CHEK SMART PIX X 2;4015630063550;564457,54;1;942644,0918
ACCU-CHEK SOFTCLIX PUNZADOR KIT X 1;4015630018239;16946,26;1;28300,2542
ACEITE DE ALM EWE DUL X 30 ML;7797811099509;3218,77;1;5375,3459
ACEITE DE ALM EWE DUL X 50 ML;7797811099516;4365,1;1;7289,717
ACEITE DE ALMENDRA EWE FCO GOTERO X 30ML;7797811099493;10299,38;1;17199,9646
ACEITE DE ARGAN EWE X 50 ML;7797811099462;11802,17;1;19709,6239
ACEITE DE JOJOBA EWE X 30 ML;7797811099448;10898,65;1;18200,7455
ACEITE DE PESCADO OMEGA 3 HYDOR CAP X 30;7798357570217;9611,12;1;16050,5704
ACEITE DE PESCADO OMEGA3 NUTRIFARMA CAP X30;7791984999956;14235,64;1;23773,5188
ACEITE DE RICINO EWE X 30 ML;7797811099400;3224,42;1;5384,7814
ACEITE DE RICINO EWE X 50 ML;7797811099417;4483,69;1;7487,7623
ACEITE ESENCIAL DE LAVANDA EWE X 8 ML;7797811099431;11192,29;1;18691,1243
ACEITE ESMERALDA MOONE X 70 ML;7798095260098;14689,97;0;14689,97
ACEMUK 200 MG TABL EFERV X 10;7798129418105;13917,61;0;13917,61
ACEMUK 600 MG TABL EFERV X 10;7798129415043;17577,18;0;17577,18
ACEMUK 600 MG TABL EFERV X 10 DISPENSER X10;7798129416798;158194,64;0;158194,64
ACEMUK 600 MG TABL EFERV X 20;7798129415050;28566,84;0;28566,84
ACEMUK 600 MG TABL EFERV X 5 PACK X 20;7798129417016;271642,23;0;271642,23
ACEMUK 600 MG TABL EFERV X 60;7798129416804;75695,33;0;75695,33
ACEMUK BIOTIC DUO CPR REC X 14;7798129417078;20473,51;0;20473,51
ACEMUK DIA Y NOCHE CPR EFERV X 12+4;7798129415852;15318,42;0;15318,42
ACEMUK GRIP CPR EFERV X 10;7798129417719;10736,85;0;10736,85
ACEMUK GRIP CPR EFERV X 10 PACK X 10;7798129417801;107368,5;0;107368,5
ACEMUK JAR X 100;7798129416781;14584,41;0;14584,41
ACEMUK L CPR X 20;7798129417085;14089,78;0;14089,78
ACENOCOUMAROL ROSPAW 4 MG CPR X 20;7798118063125;34827,8;0;34827,8
ACERPES 400 MG CPR X 20;7798129415456;21035,52;0;21035,52
ACERPES 5% CR X 5 GR;7798129418273;9301,85;0;9301,85
ACERPES 5% CR X 5 GR EXHIB X 10;7798129418280;83716,68;0;83716,68
ACERPES 800 MG CPR X 20;7798129415463;38595,5;0;38595,5
ACETA 250 MG CPR X 20;7795373022584;22330;0;22330
ACI TIP SUSP X 200 ML;7795345002033;19530,73;0;19530,73
ACIDO BORICO IBC X 20 GR FNA VII;7798151630834;259,68;1;433,6656
ACIDO FOLICO VANNIER 1 MG CPR X 30;7795372459411;17080,44;0;17080,44
ACIDO FOLICO VANNIER 10 MG CPR X 30;7795372000781;32165,21;0;32165,21
ACIDO FOLICO VANNIER 5 MG CPR X 30;7795372000774;22001,52;0;22001,52
ACIDO ZOLEDRONICO 4 MG INY LIOF X 1+SOLV;7791829000694;900576,93;0;900576,93
ACIFOL 1 MG CPR X 30;7795327000040;17549,02;0;17549,02
ACIFOL 1 MG CPR X 60;7795327000057;29256,23;0;29256,23
ACIFOL 10 MG CPR X 30;7795327061300;33023,47;0;33023,47
ACIFOL 10 MG CPR X 60;7795327061317;54083,85;0;54083,85
ACIFOL 5 MG CPR X 30;7795327060082;22596,76;0;22596,76
ACIFOL 5 MG CPR X 60;7795327060099;38471,93;0;38471,93
ACIFOL B12 CPR REC X 30;7795327061980;35726,74;0;35726,74
ACIFOL B12 CPR REC X 60;7795327061997;60871,83;0;60871,83
ACIFOL FE CPR X 30;7795327064684;32879,98;0;32879,98
ACIFOL FE CPR X 60;7795327064691;59523,79;0;59523,79
ACIFOL GTS X 10 ML;7795327060167;25230,17;0;25230,17
ACIFUSIN B CR X 15 GR;7793742002144;33762,21;0;33762,21
ACIFUSIN CR X 15 GR;7793742002137;21713,09;0;21713,09
ACIFUSIN UNG X 15 GR;7793742002120;16178,71;0;16178,71
ACIMED 20 MG CAP MICROGR GASTRORRES X 28;7798011654888;7900;0;7900
ACIMED 20 MG CAP X 15;7795344001105;3750;0;3750
ACIMED 20 MG CAP X 30;7795344001075;7500;0;7500
ACIMED 40 MG CAP X 15;7798011653348;19920;0;19920
ACIMED 40 MG CAP X 30;7798011653355;37010;0;37010
ACIMED F 20 MG CPR X 30;7798011654802;9916;0;9916
ACIMED F 40 MG CPR X 30;7798011654826;18024;0;18024
ACIMED L 30 MG CAP X 30;7798011653317;28300;0;28300
ACIVAL CPR X 30;7798113701015;19399,86;0;19399,86
ACIVAL CPR X 60;7798113701039;33697,4;0;33697,4
ACLER 1% CR X 20 GR;7798021111937;55593,07;0;55593,07
ACLER 5% CR X 20 GR;7798021111470;69037,53;0;69037,53
ACLOSAN 0,4 MG CAP X 30;7798016922494;67118,3;0;67118,3
ACLOXIGENAC 50 MG CPR REC X 10;7797416013276;3667,68;0;3667,68
ACLOXIGENAC 50 MG CPR REC X 20;7797416016253;7151,82;0;7151,82
ACLOXIGENAC 75 MG CPR REC X 10;7797416013290;8435,44;0;8435,44
ACLOXIGENAC 75 MG CPR REC X 20;7797416016260;14169,4;0;14169,4
ACLOXIGENAC 75 MG CPR REC X 500(50X10);7797416014037;130150,56;0;130150,56
ACLOXIGENAC LP 100 MG CAP X 10;7797416013313;10823,85;0;10823,85
ACLOXIGENAC LP 100 MG CAP X 20;7797416016284;19293,82;0;19293,82
ACLOXIGENAC PLUS 50/4 MG CPR REC X 10;7797416015157;10974,38;0;10974,38
ACLOXIGENAC PLUS 50/4 MG CPR REC X 20;7797416015171;19631,02;0;19631,02
ACLUSIN 100 MG CPR X 30;7791909116123;50957,58;0;50957,58
ACLUSIN 100 MG CPR X 60;7791909116130;89439,88;0;89439,88
ACLUSIN 50 MG CPR X 30;7791909116017;30232,86;0;30232,86
ACNECLIN 100 AP CAP X 30;7798129414640;56403,08;0;56403,08
ACNECLIN CPR X 30;7798129414657;29097,85;0;29097,85
ACNECLIN PBA GEL TOP X 30 GR;7798129418099;39486,56;0;39486,56
ACNELESS PATCH APOSITO HIDROCOLOIDE PARA ACNE X 12;7798158486861;6390,87;1;10672,7529
ACNESAN 10% GEL X 40;7794428010040;22960,98;0;22960,98
ACNESAN 5% GEL X 40;7794428010033;22960,98;0;22960,98
ACNESAN DRY STICK BARRA SECATIVA X 2 GR;7794428312823;21317,37;0;21317,37
ACNETROL GEL X 60 GR;7798024330014;25465,1;1;42526,717
ACNETROL LOC X 130 ML;7798024330021;25465,1;1;42526,717
ACNIBEN FACE MASK X 75 ML;8429420236769;37274,08;1;62247,7136
ACNIBEN GEL LIMP X 150 ML;8470003245913;36664,49;1;61229,6983
ACNIBEN MICELLAR CLEANSER X400ML;8429420303539;52743,17;1;88081,0939
ACNIBEN ON THE SPOT X 15 ML;8470001855107;33082,36;1;55247,5412
ACNIBEN PACK BODY X150ML +GEL LIMP X50ML;8429420296428;46273,46;1;77276,6782
ACNIBEN PACK NIGHT X27ML+GEL LIMP X200ML;8429420296435;83891,63;1;140099,0221
ACNIBEN RX EMUL LIMP X 200 ML;8470002000698;39818,63;1;66497,1121
ACNIBEN RX GEL CR HIDRAT X 40 ML;8470002000704;57532,79;1;96079,7593
ACNIBEN RX LIPS X 10 ML;8470001509802;33432,82;1;55832,8094
ACNIBEN TS BODY SPRAY X 150 ML;8470001806475;46273,46;1;77276,6782
ACNIBEN TS CONTROL EQUIL GEL CR X 40 ML;8470003245920;48754,3;1;81419,681
ACNIBEN TS GEL LIMP MATIFICANTE X 400 ML;8429420227590;57697,4;1;96354,658
ACNOXIN GEL X 45 GR;7793742006319;34329,92;0;34329,92
ACNOXIN LOC X 140 ML;7793742006203;42885,36;0;42885,36
ACNOXIN SPRAY X 140 ML;7793742000461;54824,73;0;54824,73
ACRYLARM GEL OFT X 10 G;7795368001501;27839,39;0;27839,39
ACRYLARM PLUS GEL OFT X 10 GR;7795368055344;23244,78;0;23244,78
ACTEMIN 200 MG CPR X 10;7795347900955;25003,37;0;25003,37
ACTEMIN 200 MG CPR X 30;7795347900962;64208,37;0;64208,37
ACTINERVAL CPR X 30;7790375000011;25497,66;0;25497,66
ACTINERVAL CPR X 60;7790375000028;50640,43;0;50640,43
ACTISON 100 MG CPR REC X 60;7798016922722;144699,61;0;144699,61
ACTIVAMENT 5 HTP CPR X 30;7798008191563;18591,48;1;31047,7716
ACTIVIL 100 MG CPR REC X 2;7791909114594;9617,31;0;9617,31
ACTIVIL 50 MG CPR MAST X 2;7791909114808;7120,22;0;7120,22
ACTIVIL 50 MG CPR MAST X 2 EXH X 10;7791909114211;46472,83;0;46472,83
ACTRON FLEX 400/250 MG CAP X 10;7793640991960;13039,99;0;13039,99
ACTRON GEL POMO X 50 GR;7793640992448;14563;0;14563
ACTRON MIGRA RAP ACCION CAP X 10;7793640992905;5110;0;5110
ACTRON MUJER FTE RAP ACCION CAP X 10;7793640215547;4260;0;4260
ACTRON PED 4% SUSP X 100 ML;7793640002093;16155,99;0;16155,99
ACTRON PED 4% SUSP X 180 ML;7793640992004;21605;0;21605
ACTRON PED SUSP X 100 ML;7793640215509;7280;0;7280
ACTRON PLUS RAP ACCION CAP X 8;7793640001065;3914;0;3914
ACTRON RAP ACCION 600 MG CAP X 10;7793640215523;10615;0;10615
ACTRON RAP ACCION 600 MG CAP X 20;7793640215622;19180;0;19180
ACTRON RAP ACCION NF 400 MG CAP X 10;7793640992752;4260;0;4260
ACTRON RAP ACCION NF 400 MG CAP X 20;7793640992769;8110;0;8110
ACTRON RAP ACCION NF 400MG CAPX10 OF-30%;7793640992844;2979;0;2979
ACTRON RAP ACCION NF 600 MG CAP X 10;7793640992820;10614,99;0;10614,99
ACTRON RAP ACCION NF 600 MG CAP X 20;7793640992837;19180;0;19180
ACTUAL CPR MAST X 10;7790375001285;6632,97;0;6632,97
ACTUAL CPR MAST X 30;7790375001261;19898,91;0;19898,91
ACULAR ENV X 5 ML;8054083026329;21819,85;0;21819,85
ACULAR LS SOL OFT X 5 ML;8054083026008;26179,64;0;26179,64
ACUS 10 MG CPR REC X 30;7795345124650;71779;0;71779
ACUS 10 MG CPR REC X 60;7795345125381;132607;0;132607
ADACEL FCO AMP X 0,5 ML;7798015781108;216624;0;216624
ADAPNE 0,1% GEL X 30 GR;7798167580161;32911,83;0;32911,83
ADAPNE 0,3% GEL X 30 GR;7798167580178;36849,27;0;36849,27
ADAPNE DUO FTE GEL X 30 GR;7798167580949;62904,56;0;62904,56
ADAPNE DUO GEL X 30 GR;7798167580079;44733,86;0;44733,86
ADDENTA 20 MG CPR X 30;7795348423125;78951,66;0;78951,66
ADENIL CR X 20 GR;7798011653782;11930;0;11930
ADENOSINA BIOL AMP X 10;7792796472729;94983,63;0;94983,63
ADERMA EXOMEGA CR EMOLIENTE CONTR X 400ML;7798095419724;61434,6;1;102595,782
ADERMICINA A CR X 30 G;7796285286446;17854,42;0;17854,42
ADERMICINA A CR X 30 GR 2X1;7796285287856;17854,42;0;17854,42
ADERMICINA AE CR X 200 GR;7796285289119;26522,5;0;26522,5
ADERMICINA AE EMUL X 400 ML;7796285289126;32960;0;32960
ADERMICINA AGUA MICELAR X 400 ML;7796285295103;10379,41;1;17333,6147
ADERMICINA ANTI-ACNE GEL X 30 GR;7796285288891;18882,96;0;18882,96
ADERMICINA CR X 30 G;7796285286644;23590,07;0;23590,07
ADERMICINA FAC TOALLITAS DESMAQ HUM X30;7796285296605;4880,6;1;8150,602
ADERMICINA FACIAL ANTIARRUGAS CR X 100GR;7796285298227;6248,44;1;10434,8948
ADERMICINA FACIAL ANTIARRUGAS CR X 90 GR;7796285288983;6248,44;1;10434,8948
ADERMICINA FACIAL HUMECTANTE CR X 100GR;7796285298258;6248,44;1;10434,8948
ADERMICINA FACIAL HUMECTANTE CR X 90 GR;7796285289003;4498,94;1;7513,2298
ADERMICINA FACIAL SERUM DIA X 50 ML;7796285296636;13991,05;1;23365,0535
ADERMICINA FACIAL SERUM NOCHE X 50 ML;7796285296001;13991,05;1;23365,0535
ADERMICINA FACIAL UNIFICADORA CR X 100GR;7796285298241;6248,44;1;10434,8948
ADERMICINA FACIAL UNIFICADORA CR X 90 GR;7796285288990;4498,94;1;7513,2298
ADERMICINA JAB LIMPIEZA FACIAL PACK X 2X1;7796285290009;5857,65;1;9782,2755
ADERMICINA JAB LIMPIEZA FACIAL PACK X 2X1 EXH X12;7796285290016;64518,57;1;107746,0119
ADERMITRIN POM X 30 GR;7798024570717;10100;0;10100
ADEROGYL AMP X 1;7791984000232;17120,26;0;17120,26
ADHESOL LIQ X 92 ML;7792796000014;31733,26;0;31733,26
ADIKAN 20 MG CAP X 14;7798161930030;34111,08;0;34111,08
ADIKAN 20 MG CAP X 28;7798161930047;66361,33;0;66361,33
ADIKAN 20 MG CAP X 42;7798161930283;66361,33;0;66361,33
ADIKAN 40 MG CAP X 14;7798161930054;50194,4;0;50194,4
ADIKAN 40 MG CAP X 28;7798161930061;98895,59;0;98895,59
ADIKAN 40 MG CAP X 42;7798161930290;98895,59;0;98895,59
ADIUVAN 2 MG CPR X 30;7795347971108;13095,85;0;13095,85
ADIUVAN 4 MG CPR X 30;7795347971115;22631,21;0;22631,21
ADIUVAN MET 2/1000 MG CPR X 30;7795347000433;15812,74;0;15812,74
ADIUVAN MET 4/1000 MG CPR X 30;7795347000457;27377,82;0;27377,82
ADRENALINA BIOL AMP X 10;7792796000038;38138,14;0;38138,14
ADROMUX 150 MG CPR X 1;7792183488944;58193,57;0;58193,57
ADROMUX 150 MG CPR X 3;7792183000993;130659,65;0;130659,65
AERIUS CPR X 10;7798376720013;41370,08;0;41370,08
AERIUS CPR X 30;7798376720020;101986,27;0;101986,27
AEROCAMARA ICARE ANTIE C/MASC  AD(AC401;7798124230030;13973,26;1;23335,3442
AEROCAMARA ICARE ANTIE C/MASC  LAC(AC402;7798124230245;13973,26;1;23335,3442
AEROCAMARA ICARE ANTIE C/MASC DOBLE VALVULA INFANTIL (AC403);7798124230023;13973,26;1;23335,3442
AEROCAMARA SAN UP C/MASCARA ADULTOS SU-AEC103 X 1;7798411390416;11668,55;1;19486,4785
AEROCAMARA SAN UP C/MASCARA NEO NATAL SU-AEC101 X 1;7798411390393;10912,98;1;18224,6766
AEROCAMARA SAN UP C/MASCARA NIÃ‘OS SU-AEC102 X 1;7798411390409;11206,82;1;18715,3894
AEROCAMARA SILFAB ANTIES C/MASC AD PEQ(ACH05-C)X1;762860850897;51089,24;1;85319,0308
AEROCAMARA SILFAB ANTIES C/MASC GDE AD(ACH05-G)X1;762860013483;51089,24;1;85319,0308
AEROCAMARA SILFAB ANTIESTA C/MASC MED NÃ‘(ACH06)X1;762860013476;47240,28;1;78891,2676
AEROCAMARA SILFAB ANTIESTATICA C/BOQUILL(ACH01)X1;762860013490;26439,28;1;44153,5976
AEROCAMARA SILFAB SET C/MASC AD(PA05) X1;7798028882618;14917,2;1;24911,724
AEROCAMARA SILFAB SET C/MASC NIÃ‘O(PA06)X 1;7798028882625;14341,84;1;23950,8728
AEROGAL N 4 ENV X 170 GR;7791763002358;33408,48;0;33408,48
AEROLEP AER X 250 DS;7798160690096;26470;0;26470
AEROMED CASSARA ESPACIADOR P/AER X 1;7795373010314;14648,67;1;24463,2789
AEROPIEL SPRAY X 255 ML;7794207000729;16678,53;1;27853,1451
AEROTINA 10 MG CPR X 10;7798084680128;7292,61;0;7292,61
AEROTINA 10 MG CPR X 30;7798084680135;19745,35;0;19745,35
AEROTINA JAR PED X 60 ML C/DOSIF;7798084684898;17980,4;0;17980,4
AEROTINA RAPIDA ACCION 10 MG CAP X 7;7798084683228;8604,12;0;8604,12
AEROTROP HFA AER X 250 DS;7795373013087;28690;0;28690
AEROTROP NEBUL SOL P/NEBUL X 20 ML;7795373002364;9800;0;9800
AEROTROP SPRAY NASAL X 120 DS;7795373011205;17510;0;17510
AEROVENT AER X 120 DS;7795373031524;13300;0;13300
AEROVENT E AER X 120 DS+ESPACIADOR;7795373003606;15100;0;15100
AEROVIA ATLAS AEROCAMARA X 1;7798097890972;18449,32;1;30810,3644
AEROVIAL HFA AER X 200 DS;7793569006851;35833,3;0;35833,3
AEROXINA 250 MG SUSP X 60;7791848250155;32262,04;0;32262,04
AEROXINA 500 MG CPR X 16;7791848250025;39418,35;0;39418,35
AEROXINA UD 500 MG CPR X 10;7791848250049;21829,68;0;21829,68
AEROXINA UD 500 MG CPR X 5;7791848250032;11661,69;0;11661,69
AEROXINA UD 500 MG CPR X 8;7791848250636;22374,06;0;22374,06
AESIM 200 MG CPR X 20;7798011651818;13150;0;13150
AET 0.25% AMP X 2;7792234088352;69003,36;0;69003,36
AET 0.5 % INY X 2;7792234088291;71196,55;0;71196,55
AET 1% INY X 2;7792234088307;73456,42;0;73456,42
AET 2% INY X 2;7792234088321;81313,34;0;81313,34
AET 3% INY X 2;7792234088338;112887;0;112887
AET 4% INY X 2;7792234088345;116805,67;0;116805,67
AFEME CPR X 20;7795330000013;11597,51;0;11597,51
AFENEXIL 20 MG CPR REC X 30;7795337909418;65798,03;0;65798,03
AFLUSAN 50 MG CPR X 10;7795327063779;16723,12;0;16723,12
AFLUSAN 50 MG CPR X 30;7795327063755;41566,12;0;41566,12
AFLUSAN 50 MG CPR X 60;7795327063762;78993,39;0;78993,39
AFONISAN TABL X 10;7791763001160;11996,92;0;11996,92
AFONISAN TABL X 20;7791763001177;18776,42;0;18776,42
AFTER SUN ISDIN EFF INMEDIATO SPRAY X 200ML;8470003233941;49239,63;1;82230,1821
AGAROL GELCAPS CAP X 10;7796285120214;16285,63;0;16285,63
AGAROL GELCAPS CAP X 20;7796285120191;29404,34;0;29404,34
AGAROL LIQ S/CIRUELA X 180 ML;7792690210304;18878,91;0;18878,91
AGAROL LIQ S/FRUTILLA X 180 ML;7792690206451;18878,91;0;18878,91
AGAROL LIQ S/FRUTILLA X 390 ML;7792690206468;30508,98;0;30508,98
AGAROL LIQ S/VAINILLA X 180 ML;7792690206406;18878,91;0;18878,91
AGAROL LIQ S/VAINILLA X 390 ML;7792690201067;30508,98;0;30508,98
AGAROL PUR PURIFICADOR SOB X 12;7796285281403;37565,33;0;37565,33
AGAROL PUR PURIFICADOR SOB X 5;7796285281397;19523,09;0;19523,09
AGB 10 MCG FCO AMP X 0,5 ML;7795373000308;34300;0;34300
AGB 20 MCG FCO AMP X 1 ML;7795373000223;49700;0;49700
AGIAL COLAGENO CPR X 30;7795379101092;13937,76;1;23276,0592
AGIAL COLAGENO POLVO X 300 GR;7795379101078;20045,24;1;33475,5508
AGIOLAX GRAN X 100 GR;7791848259011;45505,43;0;45505,43
AGIOLAX GRAN X 250 GR;7791848259028;99986,85;0;99986,85
AGIRAX 50 MG CPR X 10;7795378003618;10247,51;0;10247,51
AGIRAX 50 MG CPR X 20;7795378003625;18829,72;0;18829,72
AGLIPTIN 100 MG CPR REC X 30;7795345124094;106450;0;106450
AGLIPTIN 50 MG CPR REC X 30;7795345124087;99869;0;99869
AGLIPTIN MET  50/500 CPR REC X 30;7795345124056;57820;0;57820
AGLIPTIN MET 50/1000 CPR REC X 30;7795345124070;69185;0;69185
AGLIPTIN MET 50/1000 CPR REC X 60;7795345124513;125151;0;125151
AGLIPTIN MET 50/850 CPR REC X 30;7795345124063;59304;0;59304
AGLIPTIN MET 50/850 CPR REC X 60;7795345124506;114432;0;114432
AGLUCIDE MR 60 MG CPR X 30;7795328057845;52873,85;0;52873,85
AGLUCIDE MR 60 MG CPR X 60;7795328057869;101218,81;0;101218,81
AGRELID 0,5 MG CAP X 100;7795349168988;407907,07;0;407907,07
AGRELID 1 MG CAP X 100;7795349169046;549286,29;0;549286,29
AGRIPPAL S1 10 JER PRELL X 0,5 ML;7798345890105;684950;0;684950
AGRIPPAL S1 JER PRELL X 0,5 ML;7798345890099;68495;0;68495
AGUA D'ALIBOUR X 100 ML;7798023020169;1068,76;1;1784,8292
AGUA DE ALIBOUR IBC X 100 ML FNA VII;7798151630728;649,76;1;1085,0992
AGUA DE ALIBOUR IBC X 250 ML FNA VII;7798151631169;1091,2;1;1822,304
AGUA DE ALIBOUR TABLADA X 100 ML;7798021991294;613,66;1;1024,8122
AGUA MICELAR DE LAGOS X 200 ML;7798024332872;16531,95;1;27608,3565
AGUA MICELAR PIELES REACTIVAS X 400 ML;3337875528108;69993,79;1;116889,6293
AGUA OXIGENADA 321 10 VOL ENV X 500 PACK X 20;7798125310090;28036,4;1;46820,788
AGUA OXIGENADA 321 10 VOL ENV X 930 PACK X 15;7798125310151;31461,9;1;52541,373
AGUA OXIGENADA 321 20 VOL HIERBA X 100;7798158540129;959,14;1;1601,7638
AGUA OXIGENADA DELVA 10 VOL X1000ML PACK X 6 FNA VI;7798034080138;7365,6;1;12300,552
AGUA OXIGENADA DELVA 10 VOL X100ML PACK X24 FNA VI;7798034080107;7998,6;1;13357,662
AGUA OXIGENADA DELVA 10 VOL X500ML PACK X 6 FNA VI;7798034080121;5128,47;1;8564,5449
AGUA OXIGENADA IBC 10 VOL X250ML FNA VII;7798151630087;724,16;1;1209,3472
AGUA OXIGENADA IBC 10 VOL X500ML FNA VII;7798151630216;1101,12;1;1838,8704
AGUA OXIGENADA IBC 10 VOLX100ML FNA VII;7798151630070;545,6;1;911,152
AGUA OXIGENADA IBC 10VOL X1000ML FNA VII;7798151630223;1693,93;1;2828,8631
AGUA OXIGENADA IBC 20 VOL CR X 100 ML;7798151630025;766,1;1;1279,387
AGUA OXIGENADA IBC 20 VOL HIERBA X 100ML;7798151630032;766,1;1;1279,387
AGUA OXIGENADA IBC 20 VOL LIQ X 100 CC;7798151630018;709,12;1;1184,2304
AGUA OXIGENADA IBC 30 VOL CR X 100 ML;7798151630056;766,1;1;1279,387
AGUA OXIGENADA IBC 30 VOL HIERBA X 100ML;7798151630063;766,1;1;1279,387
AGUA OXIGENADA IBC 30 VOL LIQ X 100 CC;7798151630049;737,66;1;1231,8922
AGUA OXIGENADA PAEZ 10 VOL X 100 ML PACK X 40;7798121760189;16368;1;27334,56
AGUA OXIGENADA PAEZ 10 VOL X 1000 ML PACK X 12;7798121760172;21248,64;1;35485,2288
AGUA OXIGENADA PAEZ 10 VOL X 250 ML PACK X 24;7798121760448;22528,32;1;37622,2944
AGUA OXIGENADA PAEZ 10 VOL X 500 ML PACK X 15;7798121760455;19771,8;1;33018,906
AGUA OXIGENADA TABLADA 10 VOL X 1000 ML F.N.A.VII;7798021991034;1769,52;1;2955,0984
AGUA OXIGENADA TABLADA 10 VOL X 250 ML F.N.A.VII;7798021991010;785,81;1;1312,3027
AGUA OXIGENADA TABLADA 10 VOL X 500 ML F.N.A.VII;7798021991027;1287,89;1;2150,7763
