Producto;CodBarraPrinc;Precio;Neto;PrecioPublico
TAURAL F 20 MG/5 ML SUSP EXTEMP X 90 ML;7795345122472;12557;0;12557
TAURAL F 40 MG CPR X 30;7795345122465;19999;0;19999
TAURAL F MAX CPR MAST X 10;7795345124674;6154;0;6154
TAURAL F MAX CPR MAST X 30;7795345124681;14895;0;14895
TAVINEX ANTIGRIPAL CPR X 16;7794207084583;9695;0;9695
TAVINEX ANTIGRIPAL CPR X 8;7794207084576;6079;0;6079
TAVINEX EXPEC COMPLEX JAR X 120 ML;7794207085061;13995;0;13995
TAVINEX EXPEC FTE JAR X 120 ML;7794207085139;14954;0;14954
TAVINEX EXPEC JAR X 100 ML;7794207084125;13349;0;13349
TAVINEX HEDERA JAR X 100 ML;7794207085702;11704;0;11704
TAVINEX PLUS ANTIGRIPAL CPR X 16;7794207084569;10504;0;10504
TAVINEX PLUS ANTIGRIPAL CPR X 8;7794207084910;5949;0;5949
TAXAGON 100 MG CPR X 20;7795342002067;65850,67;0;65850,67
TAXAGON 50 MG CPR X 20;7795342002050;43945,15;0;43945,15
TAXAGON AD 100 MG CPR X 30;7795326010859;93621,96;0;93621,96
TAXAGON AD 50 MG CPR X 30;7795326010842;60885,75;0;60885,75
TAXAT CPR X 10;7795378005766;15458,41;0;15458,41
TAXAT CPR X 20;7795378005773;30466,59;0;30466,59
TAXAT CPR X 30;7795378005780;39011,94;0;39011,94
TAXUS 400 MG CPR MAST X 30;7795328055476;8976,02;0;8976,02
TEA TEST DE EMBARAZO ENV X 1;7796285289621;4627,82;1;7728,4594
TEA TREE OIL EWE FCO X 20 ML;7797811099486;13784,25;1;23019,6975
TEATRICAL AGUA MICELAR DETOX X 600ML;650240051630;10284,05;1;17174,3635
TEATRICAL AGUA MICELAR HUMECTANTE X 600ML;650240051647;10284,05;1;17174,3635
TEATRICAL AGUA MICELAR SUAVIZANTE X 600ML;650240051623;10284,05;1;17174,3635
TEATRICAL CEL MADRE CR FAC ACLARAD X75ML;650240063435;3321,23;1;5546,4541
TEATRICAL CEL MADRE CR FAC ACLARADORA V2 X100GR;7798140257530;4231,06;1;7065,8702
TEATRICAL CEL MADRE CR FAC ACLARADORA V2 X200GR;7798140257561;6046,96;1;10098,4232
TEATRICAL CEL MADRE CR FAC ANTIARRUGA V2 X100GR;7798140257547;4231,06;1;7065,8702
TEATRICAL CEL MADRE CR FAC ANTIARRUGA V2 X200GR;7798140257578;6046,96;1;10098,4232
TEATRICAL CEL MADRE CR FAC HUMECTANTE V2 X100GR;7798140257554;3020,46;1;5044,1682
TEATRICAL CEL MADRE CR FAC HUMECTANTE V2 X200GR;7798140257592;4836,35;1;8076,7045
TEATRICAL CEL MADRE CR FACIAL EFECTO COREANO X 100GR;650240077524;4231,06;1;7065,8702
TEATRICAL CEL MADRE CR FACIAL EFECTO COREANO X 200GR;650240077531;6046,96;1;10098,4232
TEATRICAL SERUM FAC ACLARANTE X 30 ML;7798140257820;14527,22;1;24260,4574
TEATRICAL SERUM FAC ANTI ARRUGAS X 30 ML;7798140257813;14527,22;1;24260,4574
TECTA 40 MG CPR X 30;7798084686977;31058,36;0;31058,36
TEGLUTIK 5 MG SUSP X 300 ML;7798311370631;887032,93;0;887032,93
TEGRETOL 400 LC CPR X 30;7795306150407;81334,55;0;81334,55
TEGRETOL 400 LC CPR X 60;7795306150599;136861,74;0;136861,74
TEGRETOL CPR X 60;7795306207026;53965,81;0;53965,81
TEGRETOL JAR X 100 ML;7795306151824;14804,3;0;14804,3
TEICOPLANINA RICHET 200 MG FCO AMP X 1;7795336290395;85350,15;0;85350,15
TELA ADH DE ALGODON HIPOALER COTTON TAPE WELLBRACE 12,5MMX4M CJX12;7798094541839;15067,49;1;25162,7083
TELA ADH DE ALGODON HIPOALER COTTON TAPE WELLBRACE 25MMX4M CJX12;7798094541846;22626,53;1;37786,3051
TELA ADH DE ALGODON HIPOALER COTTON TAPE WELLBRACE 50MMX4M CJX6;7798094541853;19624,74;1;32773,3158
TELA ADHE CORONET N/TEJ C/R 25MMX9MCJX12;;8115,16;1;13552,3172
TELA ADHES CORONET NO TEJIDA 25MM X 9M CJ X 12;;8862,13;1;14799,7571
TELA ADHES LISFAR CARRET N5 12,5MM X4MCJX18;7798028001989;20934,62;1;34960,8154
TELA ADHES LISFAR CARRET N6 25MM X 4M CJX12;7798028001996;25916,62;1;43280,7554
TELA ADHES LISFAR CARRET N7 50MM X 4M CJ X6;7798028002191;25867,28;1;43198,3576
TELA ADHES SYRA CAJA N3 12,5 MM X 2 ENV X 1;7792009012049;617,52;1;1031,2584
TELA ADHES SYRA CAJA N5 12,5 MM X 4 ENV X 1;7792009012056;1027,65;1;1716,1755
TELA ADHES SYRA CAJA N6 25 MM X 4 ENV X 1;7792009012063;1526,13;1;2548,6371
TELA ADHES SYRA CARRET N3 12,5MM X 2M ENVX1;7792009012001;657,98;1;1098,8266
TELA ADHES SYRA CARRET N4 25 MM X 2 ENV X1;7792009012018;1011,84;1;1689,7728
TELA ADHES SYRA CARRET N5 12,5 MM X4 ENV X1;7792009012025;1023,93;1;1709,9631
