Tipo;Producto;AlfaBeta;Troquel;CodBarraPrinc;Laboratorio;Precio;Neto;CadenaFrio;RequiereVale;Trazable;CodKellerhoff
D;BISOPIL 5 MG CPR X 30;53330;6440391;7792183002621;GADOR S.A., LAB.;18018,87;0;0;0;0;1000003565
D;BISOPROLOL TEVA 10 MG CPR X 30;55926;6479551;7795326020469;TEVA;28847,37;0;0;0;0;1000003566
D;BISOPROLOL TEVA 5 MG CPR X 30;55925;6479421;7795326020452;TEVA;22478,20;0;0;0;0;1000003567
D;BISTRONFOR 600 MG SOB X 10;50212;6257841;7790839000274;ISA-INSTITUTO SEROTERAPIC;11005,00;0;0;0;0;1000003568
D;BITAKEBIR 50 MG CPR X 28;34927;5214211;7798083520388;LABORATORIOS ASPEN S.A.;296034,51;0;0;0;1;1000003569
D;BITECAIN 10 MG CPR X 20;2142;0175514;7795330000082;CETUS S.R.L., LABORATORIO;20608,16;0;0;0;0;1000003570
D;BLACOR CR X 30 GR;15100;3413131;7791763001559;MEGALABS ARGENTINA S.A.U.;4812,84;1;0;0;0;1000000584
D;BLAST OV X 6;49330;5528261;7792234000798;CRAVERI S.A.I.C.;20854,92;0;0;0;0;1000000585
D;BLASTOP 2,5 MG CPR X 30;25771;4704852;7795371458378;TRB PHARMA S.A.;24484,92;0;0;0;0;1000000586
D;BLASTOP PREVENT CPR X 30+30;41573;5731971;7795371459252;TRB PHARMA S.A.;24900,00;0;0;0;0;1000000587
D;BLAVIN  2 MG CPR X 30;18283;3398633;7795338001135;BALIARDA S.A., LAB.;25973,68;0;0;0;0;1000000588
D;BLAVIN  5 MG CPR X 30;18284;3760633;7795338001142;BALIARDA S.A., LAB.;33624,65;0;0;0;0;1000000589
D;BLAVIN 10 MG CPR X 30;18285;3398713;7795338001159;BALIARDA S.A., LAB.;41295,43;0;0;0;0;1000000590
D;BLAVIN 10 MG CPR X 60;50080;3398716;7795338018133;BALIARDA S.A., LAB.;79340,35;0;0;0;0;1000000591
D;BLAVIN 2 MG CPR X 60;50079;3398636;7795338018119;BALIARDA S.A., LAB.;43258,82;0;0;0;0;1000000592
D;BLAVIN 5 MG CPR X 60;50081;3760636;7795338018126;BALIARDA S.A., LAB.;62407,88;0;0;0;0;1000000593
D;BLEFASKIN GEL P/PARPADOS X 25 GR;37872;9937872;7793569486578;LABORATORIO INTERNACIONAL;16056,75;1;0;0;0;1000000594
D;BLOKIUM 100 MG CPR X 15;21238;3779462;7791909317636;CASASCO S.A.I.C., LAB.;18798,99;0;0;0;0;1000000606
D;BLOKIUM 25 MG CPR X 10;62791;9962791;7791909317056;CASASCO S.A.I.C., LAB.;3484,56;0;0;0;0;1000025851
D;BLOKIUM 25 MG CPR X 100;;;7791909317094;CASASCO S.A.I.C., LAB.;33070,87;0;0;0;0;1000027084
D;BLOKIUM 25 MG CPR X 20;62792;9962792;7791909317063;CASASCO S.A.I.C., LAB.;6919,57;0;0;0;0;1000025850
D;BLOKIUM 50 MG CPR  X 15;21234;2822521;7791909317018;CASASCO S.A.I.C., LAB.;7183,29;0;0;0;0;1000000607
D;BLOKIUM 50 MG CPR X 30;21235;2822523;7791909317186;CASASCO S.A.I.C., LAB.;11432,04;0;0;0;0;1000000608
D;BLOKIUM 75 MG AMP X 3;33094;4408422;7791909317834;CASASCO S.A.I.C., LAB.;10713,84;0;0;0;0;1000000609
D;BLOKIUM 75 MG AMP X 5;21239;4408421;7791909317872;CASASCO S.A.I.C., LAB.;17840,81;0;0;0;0;1000000610
